abajur	lamp
yanlis	wrong
yanlış	wrong
yapi	structure
yaprak	leaf
yaprak sarma	stuffed grape leaves
yapı	structure
yar	cliff
yarasa	bat
yaris	race
yarisma	competition
yarış	race
yarışma	competition
yasemin	jasmine
yasli	elderly
yastik	pillow
yastık	pillow
yat	yacht
yatak	bed
yatak odasi	bedroom
yatak odası	bedroom
yaya	pedestrian
yayla	plateau
yaz	summer
yazi	writing
yazlik	summer house
yazlık	summer house
yazma	writing
yazı	writing
yağ	oil
yağmur	rain
yağmurlu	rainy
yağmurluk	raincoat
yaşlı	elderly
yaşlılık	old age
yegen	nephew
yelek	vest
yelkenli	sailboat
yemek	food
yemek masasi	dining table
yemek masası	dining table
yemek odasi	dining room
yemek odası	dining room
yemek yapma	cooking
yemyesil	lush green
yeni	new
yer	ground
yeralti	underground
yeraltı	underground
yerleskee	campus
yerli	local
yesil	green
yesillik	greenery
yetistirici	grower
yetiştirici	grower
yeğen	nephew
yeşil	green
yeşillik	greenery
yikinti	ruins
yilan	snake
yilbasi	new year
yildiz	star
yoga	yoga
yogun	dense
yogurt	yogurt
yol	road
yolcu	passenger
yolculuk	journey
yonca	clover
yorgan	quilt
yorgun	tired
yosun	moss
yoğun	dense
yoğurt	yogurt
yufka	phyllo dough
yumurta	egg
yumuşak	soft
yumşak	soft
yun	wool
yunus	dolphin
yunıs	dolphin
yurt	dormitory
yuruyus	walking
yuva	nest
yuvarlak	round
yuz	face
yuzme	swimming
yuzuk	ring
yün	wool
yürüyüş	walking
yüz	face
yüzme	swimming
yüzük	ring
yıkıntı	ruins
yılan	snake
yılbaşı	new year
yıldız	star
zaman	time
zambak	lily
zar	dice
zayif	thin
zayıf	thin
zebra	zebra
zehir	poison
zemin	ground floor
zencefil	ginger
zengin	rich
zerde	saffron dessert
zeytin	olive
zeytinyagi	olive oil
zeytinyağı	olive oil
zimpara	sandpaper
zirh	armor
zirve	summit
ziyafet	feast
ziyaret	visit
ziyaretci	visitor
ziyaretçi	visitor
zuccaciye	glassware
zumrut	emerald
zurafa	giraffe
züccaciye	glassware
zümrüt	emerald
zürafa	giraffe
zürafaa	giraffe
zımpara	sandpaper
zırh	armor
çadır	tent
çakal	jackal
çamaşır	laundry
çamaşır makinesi	washing machine
çatal	fork
çatı	roof
çaydanlık	teapot
çayır	meadow
çağlayan	rapids
çekingen	shy
çekiç	hammer
çelik	steel
çene	chin
çerez	snack
çerçeve	frame
çeşme	fountain
çiftçi	farmer
çikolata	chocolate
çim	grass
çita	cheetah
çizgili	striped
çizim	drawing
çizme	boot
çiçekçi	florist
çiğ köfte	raw meatball
çoban	shepherd
çorba	soup
çöl	desert
çıkış	exit
çınar	plane tree
ödev	homework
öpücük	kiss
öpüşme	kissing
ördek	duck
örgü	knitting
örtü	cover
öğle	noon
öğrenci	student
öğretim üyesi	professor
öğretmen	teacher
ütü yapma	ironing
üvey	step
üzgün	sad
üzüm	grape
ıhlamur	linden tea
ıslık	whistle
ıssız	deserted
ığdır	iguana
şafak	dawn
şal	shawl
şampanya	champagne
şarap	wine
şarkı	song
şarkı söyleme	singing
şato	chateau
şaşkın	astonished
şaşırmış	surprised
şef	chef
şehir	city
şelale	waterfall
şemsiye	umbrella
şenlik	festival
şiir	poetry
şişe	bottle
şoför	driver
şort	shorts
şube	branch
şömine	fireplace
şüpheli	suspicious
şık	stylish
